mempool_bin,mempool_min,mempool_max,mempool_mean,fee_rate_mean,fee_rate_median,count,mempool_midpoint
0,175155.89583333334,492380.65972222225,388417.13785350416,2.9533764296369966,2.0,100550,333768.2777777778
1,492790.5138888889,690281.3055555555,592918.2909936139,3.1511367628607276,2.0,99625,591535.9097222222
2,691283.1875,973731.1388888889,831172.5120311138,3.1702752660238795,2.0,100085,832507.1631944445
3,975157.9375,1627595.4444444445,1243565.1067364602,3.700401390424398,2.0,100401,1301376.6909722222
4,1690377.8402777778,4842220.798611111,2815145.869214391,4.616828984810228,3.0,99804,3266299.3194444445
5,5188959.451388889,17659197.222222224,12901008.534270344,4.147512710597149,3.0,100310,11424078.336805556
6,17743661.701388888,20086154.493055556,19047849.334058203,3.9129556080639487,2.0,99455,18914908.097222224
7,20125614.847222224,22612258.638888888,21262703.946806613,4.207441748690785,3.0,99869,21368936.743055556
8,22628727.590277776,25376896.020833332,23991121.50250951,4.222539949537427,3.0,101065,24002811.805555552
9,25406489.861111112,35714126.465277776,28505591.94539814,4.304919260188595,3.0,98836,30560308.163194444
