conf_block_hash,fee_rate_median,fee_rate_mean,mempool_size_median,mempool_size_mean,mempool_tx_count_median,n_txs
00000000000000000000012ba1997f0e4b791c3aed00305ea5f1c19d870ed489,2.0,3.109118086696562,582886.5208333334,582886.5208333334,1692.826388888889,669
000000000000000000000152ef431df255965eaa75faebb743672d88185b6317,2.0,3.0885286783042396,445935.69444444444,469072.8420268772,1402.8402777777778,802
0000000000000000000001ec8e88d1034bfa9313e3108d9a6a7066e815af7b59,1.0,2.2831715210355985,24146493.486111112,23928601.96074928,64214.0625,618
0000000000000000000001f96a5364311796a85ac0d03e27453f7e170a568dbd,3.0,4.1982323232323235,24146493.486111112,24146493.486111112,64214.0625,792
00000000000000000000025e2524aed550c0ddc5ccf7567ddb01d1b36e5c6eab,2.0,2.9045020463847204,605453.3263888889,605453.3263888889,2022.4444444444443,733
0000000000000000000002b1fe2a0a76558150e932abb51264634d15e9e624da,2.0,3.159189580318379,20084970.256944444,20084424.460373454,87419.80555555556,691
0000000000000000000002b4b14225908444a31c7d4e31b14088e5d2cfbbb25c,1.0,2.453125,30961456.409722224,30961456.409722224,77818.84027777778,64
0000000000000000000002f560bdaae9a9d7d97281e01ff99e8c0562ba890b04,1.0,2.6163141993957706,12388532.888888888,12388532.888888888,7828.854166666667,662
00000000000000000000033752d747c7ba8c166eb56d418533257835a2d32b8a,3.0,4.418079096045198,1690377.8402777778,1358262.2488622097,5177.652777777777,708
0000000000000000000003448347c201fb5b4fb6eedba0b4da18781c7ff42590,4.0,13.636363636363637,19568691.5,19568691.5,85872.375,11
000000000000000000000361af6b493e5852f38d4868bbb04cf76ecf2c2c1703,1.5,2.7816593886462884,736166.7569444445,736166.7569444445,2022.6666666666667,458
0000000000000000000003bff280e090f443c823070e347cda25fe9a52e0426b,2.0,2.643939393939394,28718424.152777776,28718424.152777776,49817.03472222222,132
0000000000000000000004b8721271814cd855df0efa99847bd96efd456c3702,1.0,2.461077844311377,416985.2083333333,416985.20833333326,1419.8819444444443,167
0000000000000000000005525a2fd5eb3c593b305804a38cb6f5e91349daac05,2.0,3.5791190864600324,17511969.576388888,17512054.28375929,43486.51388888889,613
00000000000000000000058571c683e0c2fed468a791b664ded22e0940bd493a,2.0,3.2963636363636364,618777.2291666666,618777.2291666666,1796.0833333333333,550
0000000000000000000005960f15b62d3bb28e5c160a316df300955a14219d1e,4.0,3.3333333333333335,646352.7638888889,646352.7638888889,2192.034722222222,3
000000000000000000000623d36f69603576be257a0119e2fae725ac0f057fec,1.0,2.0167310167310166,585306.7847222222,585306.7847222222,2202.9791666666665,777
00000000000000000000073fc8ac9a7f53ac00d4558f352fec83381234a9e3a1,2.0,3.1841584158415843,466615.2083333333,466615.2083333333,1555.5902777777778,505
00000000000000000000085504b3261f9cf11339c234c9c1b8b238f68c32c5aa,1.0,1.3185185185185184,1548437.1527777778,1396948.130761317,4322.583333333333,405
0000000000000000000008672b96d37865917d5056890a1d42a10919b3bf70bc,2.0,2.5451197053406998,563624.4027777778,563624.4027777778,1778.173611111111,543
0000000000000000000009d6e3f4aa7c48a3166878f331277fb94058cdd56a89,3.0,4.113662456946039,27701243.972222224,26250807.84125845,86828.70138888889,871
0000000000000000000009ee1847cdd483a3e364afb8eed817edd30ec33ba4db,3.0,3.5587248322147653,1069390.236111111,1034545.1727838366,3713.6458333333335,596
000000000000000000000ad363c060ca7a150d65a18b74a1d93bee0553d25fa7,1.0,1.0450236966824644,1166437.4375,1211735.7153600578,3575.222222222222,422
000000000000000000000b098469a14a563033a9644923d35872b7db710c4659,2.0,3.2351598173515983,23982233.1875,23860280.293442417,68959.35416666667,438
000000000000000000000b2c80c75cba1bada02aef0bd551d0baf6ee8b24d434,1.0,2.3783783783783785,16896326.555555556,16838630.37837838,80630.99305555556,851
000000000000000000000b3b2f9f083e175aaebafc96bce09bba0da845d45bd9,1.0,1.665137614678899,922106.1319444445,922106.1319444445,2259.715277777778,218
000000000000000000000b70b64c8cd2a0fcfe95011590f1b281b8af07f4b25c,4.0,6.2238493723849375,19720761.41958042,19718767.612064734,68681.09090909091,956
